Artist,Title,Genre,Year,Duration,Loudness
THE CHIFFONS,When Summer's Through,rock,1963,156.36853,-9.059
Mau Mau,Neir,electronic,1992,255.55546,-7.921
K-OS,AquaCityBoy,hip hop,2006,161.51465,-5.095
Nine Inch Nails,Survivalism,rock,2007,256.83546,-6.787
Pascal Obispo,Chlore,chanson,1994,231.00036,-13.691
Rihanna,Music Of The Sun,dance pop,2005,235.98975,-8.298
Angelo Badalamenti,Dinner Party Pool Music,soundtrack,2001,86.56934,-23.476
Tin Hat Trio,Width Of The World,jazz,2000,407.06567,-12.957
Kanye West,Street Lights,hip hop,2008,189.962,-9.644
Grace Gale,La Matanza,post-hardcore,2008,247.71873,-6.533
Sui Generis,Cuando Ya Me Empiece A Quedar Solo,electronic,1973,335.33342,-16.111
Twista,Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version),rap,2005,259.36934,-6.945
Stew,L.A. Arteest Café,rock,2003,299.07546,-14.023
Suicidal Tendencies,Two-Sided Politics,hardcore punk,1987,61.83138,-7.499
Eminem,Beautiful,hip hop,2009,397.60934,-7.038
Geddy Lee,Runaway Train (LP Version),hard rock,2000,271.46404,-5.956
Everyday Sunday,Wake Up! Wake Up! (Wake Up! Wake Up! Album Version),emo,2007,168.95955,-4.017
The Brooklyn Tabernacle Choir,Everything I Desire,gospel,1995,226.66404,-11.907
Buckwheat Zydeco,Hot Tamale Baby,zydeco,1987,246.49098,-7.822
Seal,Still Love Remains (Album Version),dance pop,1998,354.76853,-11.918
Planetakis,Letters to Norway,electropop,2007,234.73587,-2.019
Ayo,Life Is Real,reggae,2006,534.62159,-9.158
Halfway to Gone,Turnpike,hard rock,2004,255.42485,-5.544
Simply Red,Maybe Someday...,pop,1987,258.08934,-9.38
Juana Molina,j Uh!,electronic,2004,213.26322,-19.775
Robben Ford,Spoonful,blues,2009,367.98649,-6.626
Byzantine,Absolute Horizon,thrash metal,2008,300.01587,-5.663
Bill Perry,Man  On The Side,blues,2004,217.88689,-6.623
L7,This Ain't Pleasure,grunge,1992,163.13424,-9.429
Doug MacLeod,The Sun Shine Down My Way,blues,2004,337.42322,-10.516
Stevie Ray Vaughan And Double Trouble,Mary Had A Little Lamb,blues,1988,166.73914,-14.373
Placebo,Evalia,rock,2003,260.75383,-10.942
A Tribe Called Quest,Scenario,hip hop,1991,251.14077,-10.086
Kings Of Leon,My Party (Kenna Remix),southern rock,2007,225.27955,-6.205
Michèle Bernard,Le bar du grand désir,chanson,2002,232.38485,-12.838
Dolores Keane,Telling Me Lies,irish folk,1993,229.92934,-14.375
Lou Ann Barton,Please Come Home For Christmas,blues,1986,241.26649,-10.733
Mikey Dread,Hot Cross Bun,reggae,1982,193.12281,-8.173
Usher,I'll Show You Love,hip hop,1994,283.89832,-7.275
Y&T,Black Tiger,heavy metal,1982,275.9571,-8.112
Earl Hooker,Love Ain't A Play Thing,blues,1968,298.91873,-14.476
Rhian Sheehan,Existing Alone,downtempo,2001,288.62649,-17.549
Bob Marley,Small Axe,reggae,1999,224.96608,-9.715
Kanye West / Adam Levine,Heard 'Em Say,hip hop,2005,204.5122,-11.38
Sofia Karlsson,I denna ljuva sommartid,chanson,2002,340.21832,-14.863
Buzzcocks,Get On Our Own,punk,1978,144.77016,-11.058
Keb'Mo',Anybody Seen My Girl,blues,1994,176.5873,-15.608
Rickie Lee Jones,Just My Baby,singer-songwriter,1989,314.72281,-9.785
Steel Pulse,Ku Klux Klan,roots reggae,1978,231.49669,-6.092
Backstreet Boys,Shape Of My Heart,teen pop,2000,173.5571,-5.47
Bob Marley,Lively Up Yourself,reggae,1991,173.24363,-7.236
Matisyahu,Refuge,rock,2004,242.15465,-8.702
Ashton Shepherd,Old Memory,folk,2008,260.51873,-6.857
Dave Brockie Experience,Slips Of Paper,shock rock,2003,126.4322,-6.293
Debbie Davies,Backseat Driver,blues-rock,1998,243.30404,-5.981
Radio Moscow,Broke Down,blues-rock,2009,255.89506,-6.83
William Orbit,Harry Flowers,electronic,1993,270.94159,-20.607
Ron Goodwin,The Lull Before The Storm,easy listening,1999,99.97016,-16.333
The Roches,Mr. Sellack (Album Version),singer-songwriter,1979,243.51302,-19.514
Stille Volk,Orgasme Tellurique,rock,2003,276.37506,-12.685
Tina Ann,Too Late (Orange Factory Extended Mix),progressive house,2003,395.62404,-3.139
Tel Basta,I'm Poured Out Like Water,rock,1996,220.36853,-12.383
Los Chichos,Vuelve Junto A Mi,flamenco,1979,242.80771,-8.707
Van Halen,"Dirty Movies"" (Album Version)",hard rock,1981,248.00608,-6.635
Teenage Fanclub,The Sun Shines From You,indie rock,2000,204.77342,-5.013
Dark Fortress,Ghastly Indoctrination,black metal,2006,459.33669,-7.57
Cobra Killer,Kick Jump - Part Jump,electro,1998,112.19546,-10.672
Eddie Turner,Rise,blues-rock,2005,306.78159,-6.398
Backstreet Boys,The Call,teen pop,2000,236.2771,-2.801
Ensiferum,Into Battle,power metal,2004,352.49587,-5.827
Dark Party,Active,rock,2008,261.58975,-3.542
Eluveitie,(Do)Minion,death metal,2010,307.69587,-4.367
Múm,Nightly Cares,electronic,2004,249.05098,-15.775
Memphis Jug Band,Ambulance Man,blues,2001,161.54077,-15.963
Les Ogres De Barback,Printemps,chanson,1999,189.3873,-8.789
Lyrics Born,Over You (feat Joyo Velarde_ prod DJ Shadow),hip hop,2005,256.13016,-4.316
Incubus,Just A Phase,rock,2001,353.77587,-8.744
Sizzla,Love & Devotion,reggae,2003,197.48526,-6.382
Irma Thomas,I'm Gonna Cry Til' My Tears Run Dry,blues,2004,146.88608,-10.22
Michael Jackson,Just A Little Bit Of You,funk,1975,192.57424,-7.98
Flamin' Groovies,Evil Hearted Ada,power pop,1971,199.96689,-5.24
Kings Of Leon,Genius,southern rock,2003,168.82893,-6.538
Eddie Cantor,That's The Kind Of Baby For Me,easy listening,2000,145.31873,-24.705
Helen Love,First Boyfriend,rock,2007,156.21179,-6.674
30 Seconds To Mars,The Mission,rock,2002,245.02812,-4.675
Julien Clerc,L'horizon Chimérique,chanson,2000,264.93342,-8.648
Uphill Battle,Thresh Hold,grindcore,2004,166.37342,-1.545
Moments In Grace,Broken Promises (album version),emo,2004,195.91791,-6.214
Dave And Ansel Collins,Two Four One,rock steady,1971,151.84934,-14.3
Connie Smith,I'll Come Running,country gospel,2001,125.67465,-9.089
Nick Cave & The Bad Seeds,Stagger Lee,rock,1996,315.08853,-9.29
Sigmatropic,The Blue Side of The Sun,post rock,2007,263.57506,-8.511
Neon Blonde,New Detroit,indie rock,2005,170.70975,-5.059
Rodney O_ Joe Cooley,Let's Have Some Fun,hip hop,1995,222.24934,-11.255
Milk Inc.,Livin' A Lie (Video Mix),progressive trance,2001,204.25098,-6.62
Jerry Goldsmith,The Keys,soundtrack,1997,110.70649,-28.19
Korn,Proud,rock,1996,197.53751,-4.347
Soul Ballet,da da Diamonds,smooth jazz,2007,224.86159,-6.769
Robert Palmer,Love Can Run Faster,rock,1978,247.95383,-17.664
Alexis HK,Juste Une Fois,chanson,2004,98.66404,-15.615
Devo,Soo Bawlz,rock,1979,141.08689,-11.714
Joy Division,Passover,indie,1980,128.67873,-9.663
Sofia Karlsson,Blåsut,chanson,2009,165.69424,-10.062
Dee Clark,You're Looking Good,rock,2000,133.3024,-12.632
The Black Crowes,Sting Me,rock,1992,348.89098,-7.349
The Almost,Little Drummer Boy,rock,2008,187.11465,-7.387
Cocoa Tea,Cooling Out,reggae,1992,241.29261,-11.368
Marco Beltrami,Revelations,soundtrack,2009,209.08363,-28.231
SNAP!,"Beauty Queen (12"" Spoon Club Mix)",electronic,2005,404.37506,-9.317
Sleepy John Estes,Need More Blues,blues,1993,197.0673,-15.163
Beherit,Werewolf_ Semen And Blood,black metal,1993,185.05098,-13.213
Nick Colionne,If You Ask Me,smooth jazz,2006,215.14404,-7.114
Elliot Goldenthal,Pickled Heads,soundtrack,2000,305.50159,-13.959
Michael Stanley Band,Lost In The Funhouse Again,rock,1975,220.05506,-12.253
Frankie J,Gone,pop,2005,273.00526,-6.728
Mariah Carey,Mine Again,dance pop,2005,241.65832,-9.635
Ray Pillow,We're Together Again,country rock,1998,129.12281,-13.404
Joe Satriani,Just Like Lightnin',instrumental rock,2006,300.82567,-5.943
Suzi Quatro,Mama's Boy,rock,1979,217.46893,-11.314
Sugar Minott,Informer,reggae,2008,226.40281,-5.627
Jeff Beck Group,Ice Cream Cakes,rock,1972,340.34893,-13.637
Donny Hathaway,I Love You More Than You'll Ever Know (LP Version),funk,1990,322.87302,-16.336
Matisyahu,Exaltation,rock,2004,417.67138,-7.865
Eddie Money,Two Tickets To Paradise,pop rock,1977,189.30893,-7.54
Cracker,Shake Some Action,hard rock,1995,263.8624,-5.498
Béla Fleck,Punchdrunk,bluegrass,1982,158.98077,-9.89
Sapo,El Mes Alt,jazz,2003,219.74159,-5.155
Silverstein,FRIENDS IN FALL RIVER  (LP Version),emo,2006,181.81179,-5.993
Alice In Chains,Brother,rock,1992,267.36281,-6.478
Terry Riley,Acension Final Chord Rising,electronic,2002,142.41914,-37.065
Tanto Metro & Devonte,Honey I Sugar Pie,reggae,2003,207.33342,-8.41
SUMO,Pinini Reggae,electro,1989,215.11791,-5.945
Basic Channel,Phylyps Trak II/II,techno,1994,793.62567,-12.593
Tammy Wynette,Stand By Your Man,rock,1968,159.60771,-13.592
Gabinete Caligari,El Arte De Amar,rock,1989,304.32608,-12.436
Skeletonwitch,Sacrifice for the Slaughtergod,black metal,2007,173.37424,-5.516
Britney Spears,Don't Go Knockin' On My Door,dance pop,2000,223.52934,-5.304
Maximilian Hecker,Full Of Voices,rock,2005,205.7922,-8.059
Whitesnake,Fool For Your Loving,rock,1980,250.3571,-7.356
Los Abuelos De La Nada,Lunes Por La Madrugada,rock,1984,194.01098,-14.409
John Michael Talbot,Pass Through My Will,ccm,1989,113.78893,-21.506
Enslavement Of Beauty,Ye That Tempteth_ Ye That Bequeth,black metal,2001,239.90812,-4.732
MxPx,Answer In The Question,christian rock,2000,129.88036,-3.487
Snow Patrol,Chocolate,rock,2003,181.57669,-6.473
C.J. Chenier,Banana Man,zydeco,1992,189.33506,-12.469
Fort Minor (Featuring Mr. Hahn),Slip Out The Back (Album Version),hip hop,2005,236.66893,-6.475
Bury Your Dead,Closed Eyes,hardcore punk,2009,290.63791,-6.664
DMX,Damien,hip hop,1998,222.09261,-7.974
Kitaro,Trong Com,electronic,1993,43.51955,-23.874
G-Unit,Poppin' Them Thangs,rap,2003,242.52036,-1.622
Las Ketchup,Doble Bombo,rumba,2006,171.80689,-4.134
Saosin,Bury Your Head,rock,2005,212.29669,-3.753
Don Gibson,A Legend In My Time,rock,1987,152.58077,-14.28
Les Blaireaux,Le gardien de musée,chanson,2007,297.76934,-9.911
Nick Cave & The Bad Seeds,Still In Love,rock,2003,283.74159,-11.766
Bersuit Vergarabat,Sencillamente,rock,2005,307.35628,-7.769
James Horner,The President's Speech,rock,1998,269.7922,-36.835
Carlos Nuñez,A Costa De Galicia,folk,2002,237.87057,-8.691
Facto Delafe y las flores azules,Enero en la playa (Edit),downtempo,2005,158.45832,-9.65
Michael Jackson,HISTORY,funk,1995,249.99138,-2.617
Trick Trick / Eminem,Welcome 2 Detroit,hip hop,2005,285.49179,-4.853
Kris Kristofferson,Same Old Song,western swing,1974,194.37669,-11.663
George Lopez,Church Hangover,california,2006,270.68036,-16.724
Cinder,The Ride (Album),post-grunge,2006,218.61832,-5.025
Autumnblaze,Her Golden Robe In Silence Veiled,rock,1999,286.24934,-9.033
Johnny Cash,I Got Stripes (Live),honky tonk,2006,112.95302,-7.087
Speedball,No Survivors,heavy metal,1998,212.21832,-9.191
3 Doors Down,It's Not Me,rock,2003,230.42567,-5.981
Zombie Girl,I Want It,electro,2006,260.54485,-5.202
Buzzcocks,Strange Thing,punk,1980,219.19302,-7.736
Stanley Clarke,Journey To Love,jazz funk,1975,282.69669,-12.714
Ma Rainey,Ma Rainey's Black Bottom,classic female blues,1927,188.94322,-17.714
Spinal Tap,The Majesty Of Rock,parody,1992,235.41506,-5.492
Jesse Malin and The St. Marks Social,Revelations,singer-songwriter,2007,243.722,-4.852
Gus Viseur,Fausse monnaie,jazz,2000,180.00934,-13.512
Eliane Elias,No More Blues (Chega de Saudade),brazilian jazz,1992,326.42567,-24.83
Dave Eggar,Wave,new age,2002,225.04444,-23.15
BigElf,Falling Bombs,hard rock,2003,298.13506,-4.683
Babylon Disco,Error,breakcore,2007,208.90077,-10.196
Kelly Clarkson,My Life Would Suck Without You,teen pop,2009,230.63465,-5.953
The Exies,Creeper Kamikaze,post-grunge,2003,201.87383,-4.998
Dinosaur Jr.,Whatever's Cool With Me (LP Version),indie rock,1991,271.12444,-6.051
2raumwohnung,Ja (Hanno's Poppersmonstermix),indie pop,2007,357.85098,-8.525
Fudge Tunnel,Bed Crumbs,rock,1991,124.94322,-7.31
Kaija Koo,Seuraavassa elämässä,rock,1995,227.36934,-8.521
Donnie Brooks,What'd I Say,oldies,2001,174.34077,-10.362
Dinosaur Jr,On The Brink,indie rock,1994,194.40281,-6.942
Lara,Damit Du Dich in mich verliebst,trance,2009,192.46975,-6.533
Snow Patrol,Half The Fun,rock,2004,174.602,-4.022
Les Sexareenos,Ruby D.,indie rock,2001,98.89914,-7.268
Outerspace,Drive By Music,hip hop,2006,200.9073,-4.982
Novaspace,Guardian Angel,trance,2002,231.54893,-7.299
Finntroll,Hel Vete,heavy metal,2004,255.00689,-5.563
Semisonic,If I Run,post-grunge,1993,258.92526,-5.814
Tim Exile,Post-Toxic Finger Disorder,breakcore,2006,80.3522,-4.379
Bizzy Bone Presents,Intro,gangster rap,2004,50.9122,-7.837
Walter Jackson,What Would You Do,northern soul,2006,156.682,-12.839
Enthroned,Ad Te Clamamus Exsvles Mortva Liberi,black metal,2010,89.15546,-20.359
Mastodon,Deep Sea Creature,heavy metal,2001,280.21506,-3.306
Portable,Theresa,post-grunge,2003,362.60526,-18.152
Bone Thugs-N-Harmony,Murder One,rap,2000,255.73832,-5.724
Los Chichos,No Quieras Marcharte,flamenco,1984,191.68608,-10.764
João Gilberto,Segredo,bossa nova,2000,197.19791,-29.75
Richard Galliano,French Touch,jazz,1999,201.09016,-16.937
Ten Years After,Victim Of Circumstance,blues-rock,1989,248.78975,-11.814
John Hammond,Come To Find Out,blues,2005,247.32689,-8.405
Winston Reedy,Daughter Of Zion,reggae,1997,235.78077,-8.754
Helen Love,Bubblegum,rock,1997,145.78893,-8.871
Pride Tiger,56 Days,hard rock,2007,229.22404,-2.397
3 Doors Down,Sarah Yellin',rock,2002,208.97914,-5.371
The Rapture,Killing,indie rock,2003,218.22649,-7.693
Photo Atlas,Red Orange Yellow,indie rock,2007,189.75302,-5.991
Soilwork,Machine Gun Majesty [Live] (Album Version),death metal,2000,323.21261,-3.049
Elliot Goldenthal,Bullet Frenzy,soundtrack,2003,617.82159,-13.179
Shaggy,Alimony,reggae,1994,232.30649,-7.751
Sade,Smooth Operator,jazz,1983,298.89261,-6.375
Behemoth,Before The Æons Came,death metal,2004,178.33751,-4.059
Falco,Monarchy Now,new wave,1992,252.96934,-8.726
Steve Riley & The Mamou Playboys,Between Eunice & Opelousas,rock,1995,182.22975,-3.959
Dilated Peoples,Big Business,hip hop,2004,149.91628,-8.225
Floor,Ignis,doom metal,2009,144.92689,-9.105
Fever Ray,I'm Not Done,electronic,2009,280.24118,-9.074
The Animals_ Sonny Boy Williamson,Bo Diddley,rock,1973,463.49016,-9.492
Warren Barfield,Shadow,ccm,2006,207.51628,-6.748
Dave Hollister,Tell Me Why,r&b,2006,305.34485,-7.232
Radiohead,Subterranean Homesick Alien,rock,1997,267.20608,-9.148
Deborah Allen,I Will Always Love You,pop,2005,189.57016,-11.156
Tina Britt,He Put The Hurt On Me,blues,2006,177.94567,-7.162
Faye Adams,My Greatest Desire,jump blues,1961,144.1171,-11.508
Chimaira,The Flame,metalcore,2007,323.18649,-4.238
Rita Chiarelli,Doggin' Around,blues,2004,237.7922,-9.517
Christina Aguilera,Walk Away,dance pop,2002,347.84608,-6.774
Gary Moore,Rockin' Every Night (Live),blues-rock,2005,198.79138,-11.105
Maurane / Lara Fabian,Mais La Vie,chanson,2003,198.86975,-13.637
Goatwhore,Forever Consumed Oblivion,black metal,2006,225.64526,-4.442
The Creation,Hey Joe,freakbeat,1967,250.27873,-10.612
Elakelaiset,Humppa,rock,1996,182.83057,-11.931
The Balustrade Ensemble,Fall Away Into Darkness,electronic,2007,285.3873,-17.057
Darwin Hobbs,You Are God (Broken Album Version),hip hop,2003,352.86159,-9.055
Terry Callier,Blues,jazz,2001,180.50567,-8.154
The Box Tops,Neon Rainbow,blue-eyed soul,1967,177.3971,-10.393
Stevie Ray Vaughan And Double Trouble,Empty Arms,blues,1996,184.2673,-10.72
Astarte,Risen From Within,black metal,2000,173.81832,-6.241
John And The Bluesbreakers Mayall,A Hard Road,blues,1967,304.8224,-6.356
Hevia,San Xuan,rock,2003,261.32853,-5.764
Marcus Miller,Outro Duction,jazz funk,2005,52.00934,-13.227
Benabar,Le Zoo De Vincennes,chanson,2003,238.44526,-11.258
Z.Z. Hill,Faithful and True (Collectors Version),blues,1971,333.322,-8.301
Tommy James & The Shondells,Crimson And Clover,pop rock,1969,324.70159,-11.359
Charley Patton,Moon Going Down,blues,1930,196.62322,-15.164
Chris Standring,Mumbo Jumbo (jazz),smooth jazz,2006,257.59302,-9.449
The Race,Raising Children,indie rock,2006,225.17506,-5.298
Ensiferum,Hero In A Dream,power metal,1999,218.61832,-2.599
Neviss,Epilog,indie rock,2003,53.39383,-31.412
Reel Big Fish,Why Do All Girls Think They're Fat (Album),rock,2007,153.67791,-4.188
Red Hot Chili Peppers,Get On Top (Album Version),rock,1999,198.05995,-1.479
Trivium,Upon The Shores [Explicit],alternative metal,2008,321.17506,-3.973
Jerry Goldsmith,First Blood,soundtrack,1985,281.28608,-18.719
Martin Sexton,Ice Cream Man,singer-songwriter,2001,352.88771,-8.733
Peggy Zina,O Hiroteros Ehthros Mou,modern laika,2009,200.38485,-6.654
J.J. Cale,Midnight In Memphis,blues-rock,1997,263.94077,-14.293
Dora The Explorer,Travel Song (Reprise),soundtrack,2008,68.98893,-6.917
Souls Of Mischief,Spark,hip hop,2002,220.96934,-5.911
Everyday Sunday,Don't Leave,emo,2002,269.73995,-7.462
Bad Brains,Destroy Babylon,rock,1983,85.26322,-9.614
A.Z.,Sosa (Explicit),gangster rap,1998,125.41342,-8.005
The Presets,Yippiyo-Ay,techno,2008,271.85587,-4.002
Jennifer Lopez,Talk About Us,dance pop,1999,275.69587,-6.518
Francisco Céspedes,Señora (bonus track),los angeles,1998,204.53832,-9.84
Wailing Souls,Old Broom,reggae,1981,204.85179,-9.99
The MC5,The American Ruse (LP Version),rock,1970,149.96853,-2.969
Bad Religion,Fertile Crescent (bonus track),hardcore punk,1992,138.52689,-3.376
Floyd Cramer,Stood Up,instrumental pop,1979,125.85751,-19.115
Simply Red,Fairground (+ Sample),pop,1995,333.322,-7.209
Craig Wedren,Alone in Love,funk rock,2005,155.27138,-14.98
The Almost,Books & Books,rock,2009,210.59873,-4.289
Room 5,Hidden Sun,electronic,2003,403.01669,-7.611
Gang Starr,The Planet (Explicit),hip hop,1994,316.02893,-10.518
Zeromancer,Mosquito Coil,rock,2003,277.81179,-8.704
Vickie Winans,You Turn Me,ccm,2008,347.42812,-8.139
Frederic Galliano,Nomades Monades,electronic,1997,1394.75546,-20.282
Statues,The Last Stand,punk,2006,127.73832,-5.39
Al Denson,Rain Love,ccm,1999,249.67791,-8.7
Moonspell,Sacred,death metal,1997,313.46893,-7.145
Lambda,Hold On Tight,trance,1996,180.79302,-7.944
Wyclef Jean,Something About Mary,hip hop,2000,319.97342,-6.431
Leroy Hutson,Ella Weez,funk,1974,181.55057,-12.987
Twila Paris,How Beautiful (Cry For The Desert Album Version),ccm,1990,290.19383,-12.126
Dax Riggs,Night is the Notion,rock,2007,158.51057,-6.172
Ben Jelen,Wicked Little Town (Album Version),singer-songwriter,2004,240.32608,-5.77
Sylver,Sympathy,disco,2004,170.50077,-9.122
Behemoth,He Who Breeds Pestilence,death metal,2009,341.2371,-2.735
2 Minutos,1987,punk,1997,64.39138,-7.653
Hot Chip,No,electronica,2007,182.15138,-8.208
Nerf Herder,Nervous Breakdown,post-grunge,2002,167.44444,-2.885
Spok Frevo Orquestra,Folião Ausente,frevo,2007,286.04036,-8.431
Quincy Jones,Exodus,jazz,1988,204.82567,-12.328
Les Brown,Harlem Nocturne,jazz,2007,172.87791,-14.319
Mart'nália,Cabide,samba,2006,157.07383,-9.602
George Lopez,Dogs,california,2003,297.22077,-15.149
Bow Wow Wow,C30 C60 C90 Go,new wave,2003,182.9873,-10.137
Opiate For The Masses,21st Century Time Bomb,alternative metal,2008,233.11628,-3.3
Pascal Obispo,La Machine,chanson,2006,246.56934,-8.909
JK,You Make Me Feel Good ,eurodance,2003,361.16853,-14.475
Sandy Posey,Touch You,rock,1966,165.19791,-15.15
Taking Dawn,Black Diamond,power metal,2010,236.79955,-4.361
Snow Patrol,Wow,rock,2003,242.05016,-5.694
Graham Central Station,It's Alright,funk,1975,229.27628,-9.783
Scott Matthews,Underlying Lies,singer-songwriter,2009,325.48526,-8.599
Shakira,Poem To A Horse,dance pop,2001,246.43873,-6.025
Jacques Dutronc,Les Femmes Des Autres,chanson,1969,192.33914,-11.899
Nightwish,Sleepwalker,heavy metal,2000,175.80363,-5.921
Jean-Jacques Goldman,Comme Toi (Live),chanson,1991,327.65342,-14.457
Faith Hill,There Will Come A Day (Album Version),country,2001,253.1522,-9.031
Stanley Clarke & George Duke,Finding My Way,funk,1990,339.09506,-14.253
Estopa,Exiliado En El Lavabo,flamenco,1999,195.83955,-12.359
Danger Danger,Rock America,hard rock,1989,292.85832,-7.866
Coldplay,Don't Panic,rock,1999,139.12771,-8.501
Doyle Bramhall,Ooh Wee Baby,blues,2007,252.36853,-7.194
Milk Inc.,Losing Love (DJ Wout Remix),progressive trance,1999,430.65424,-10.674
DMX / Dyme,Good Girls_ Bad Guys,hip hop,1999,233.40363,-4.422
Cece Winans,The Wind (Tears For You),ccm,1998,288.91383,-8.998
ÄI-TIEM,All das mag ich,hip hop,1993,323.3171,-10.948
KT Tunstall,Boo Hoo,rock,2005,308.63628,-10.997
Mobb Deep,(The Grave Prelude),hip hop,1995,50.15465,-13.662
The New York Dolls,Stranded In The Jungle,hard rock,1974,245.68118,-9.325
BT feat. JES,Every Other Way,rock,2010,550.97424,-5.213
Agnostic Front,No One Hears You,heavy metal,2004,98.11546,-4.883
The Cliks,Career Suicide (CD),rock,2009,199.78404,-5.122
Lonestar,Somebody's Someone,country,2004,263.49669,-8.163
Dixie Chicks,Lullaby,bluegrass,2006,351.84281,-12.749
Rihanna,SOS,dance pop,2006,244.50567,-3.925
Fenton Robinson,Somebody Loan Me A Dime,texas blues,1990,263.73179,-12.346
Albert King,Watermelon Man,blues,1968,244.27057,-15.879
Novaspace,Summer Of Love,trance,2004,356.23138,-5.861
Phil Collins,That's What You Said  (LP Version),soft rock,1996,260.96281,-6.68
Alexandre Desplat,High-Speed French Train,soundtrack,2009,86.22975,-20.551
Dolly Parton,Light Of A Clear Blue Morning,bluegrass,1977,294.24281,-8.782
April Wine,Caught In The Crossfire,hard rock,1981,214.43873,-12.551
Maysa,Escuta_ Noel,brazilian pop music,2003,176.37832,-10.484
Cabin Crew,Can't Stop (Mind electric Remix),electronic,2009,194.97751,-4.434
Luiz Bonfa,Manhã de Carnaval,samba,1989,147.87873,-24.341
Bare Jr.,Tobacco Spit,rock,1998,230.05995,-7.837
Janet Jackson,Again,dance pop,1993,227.082,-10.252
João Gilberto,Eu E Meu Coracao,bossa nova,1991,312.05832,-22.083
Basement Jaxx,Twerk (feat. Yo Majesty),club,2009,210.20689,-5.2
Swallow The Sun,...and Heavens Cried Blood,doom metal,2009,377.75628,-6.317
Jah Cure,To Your Arms of Love,reggae,2007,210.85995,-3.362
Thrice,The Earth Will Shake,rock,2005,268.17261,-5.257
Shakira,Ojos Así,dance pop,1998,409.99138,-7.936
Silverstein,MY CONSOLATION (LP Version),emo,2006,242.83383,-6.818
The Harvey Averne Dozen,The Think Drink Theme,boogaloo,1967,166.81751,-15.489
Eddie Money,Runnin' Away,pop rock,1983,213.68118,-10.633
Mando Diao,All My Senses,garage rock,2004,251.03628,-5.403
30 Seconds To Mars,Hunter,rock,2005,234.73587,-10.807
Belle and Sebastian,Like Dylan In The Movies,rock,1996,250.69669,-10.504
Los Van Van,Appapas Del Calabar,salsa,1999,268.042,-5.801
Willy DeVille,Cadillac Walk (Album Version),pop rock,2009,439.30077,-5.883
Tresenlesen,Das Gelübde,comedy,1998,239.46404,-12.119
Justin Timberlake,What Goes Around...Comes Around,rock,2007,254.1971,-3.773
The All American Rejects,Jack's Lament,rock,2008,195.18649,-9.322
Pescado Rabioso,Aguas Claras De Olimpos,rock,1973,526.21016,-13.209
Fountains Of Wayne,Janice's Party,power pop,2005,165.61587,-5.094
Nightfall,Death Of Neira,rock,2003,272.69179,-5.028
Entre Ríos,Cerca & Extraño,alternative dance,2005,285.04771,-10.083
Event Horizon,Endless Ocean,rock,2001,440.76363,-9.341
Lara Fabian,TLFM (Toutes Les Femmes En Moi),ballad,2009,246.20363,-6.945
Terry Callier,Occasional Rain,jazz,1972,243.04281,-12.061
8Ball & MJG,Pimpin' Don't Fail Me Now [Featuring Jazze Pha and Juvenile] (Explicit Album Version),dirty south rap,2007,236.93016,-5.674
Sister Hazel,Think About Me,post-grunge,1997,188.62975,-5.15
Atreyu,Nevada's Grace (Album Version),post-hardcore,2004,227.99628,-5.512
Rooney,Get Away,rock,2007,171.93751,-3.324
Madonna,Bedtime Story (Album Version),dance pop,1994,248.55465,-13.603
Timothy Byram-Wigfield,Les Corps Glorieux: III. L'Ange aux parfums,religious music,2002,473.46893,-32.934
Fudge Tunnel,Spanish Fly,rock,1991,325.72036,-13.702
Taylor Swift,The Way I Loved You,pop,2008,245.36771,-4.536
Amoral,Metamorphosis,death metal,2001,306.38975,-5.306
The Rolling Stones,Fortune Teller,rock,1963,116.92363,-6.999
Faith Hill,Silent Night_ Holy Night! (Album Version),country,2008,189.67465,-16.402
Dusminguet,Africa,ska,1998,173.97506,-9.688
Kool Moe Dee,Way Way Back,hip hop,1987,272.8224,-11.151
Danny Elfman,The Kingdom - Titles,soundtrack,2007,269.7922,-14.107
Behemoth,No Sympathy For Fools,death metal,2002,229.40689,-5.117
Mary Black,Katie,rock,1987,283.61098,-11.691
Keb' Mo',I Am Your Mother Too,blues,2001,242.80771,-16.239
Flora Purim,Latinas,jazz,1994,222.9024,-20.831
Plump DJs,Weighed Down,breakbeat,2003,304.45669,-6.934
White Willow,The Reach,rock,2000,659.46077,-12.518
Billy Bragg,This Guitar Says Sorry,folk rock,1984,153.88689,-9.341
Hall & Oates,Perkiomen,pop rock,1993,158.40608,-9.926
Sugar Minott,Try Love,reggae,1977,290.35057,-11.107
"Ricky Martin Feat. La Mari de ""Chambao",Tu Recuerdo,latin,2008,247.87546,-6.41
Lee Michaels,Fell In Love Today,blue-eyed soul,1968,118.88281,-11.723
Frank Stokes,Nehi Mamma Blues,blues,1995,190.92853,-16.079
Los Amigos Invisibles,Ultra-Funk,acid jazz,1998,218.67057,-6.505
The Police,Voices Inside My Head,new wave,1980,233.45587,-13.425
Max Steiner,Presenting The Eight Wonder Of The World,soundtrack,1993,24.13669,-15.511
Tha Liks featuring Defari,My Dear,hip hop,2001,233.92608,-5.033
The Crystal Method,Realizer,electronica,2004,228.85832,-6.642
Funeral For A Friend,Building,emo,2008,160.23465,-15.609
